['194', '732', '284', '321', '893', '401', '376', '962', '1', '804', '739', '516', '92', '565', '740', '933', '313', '159', '607', '69', '54', '13', '779', '364', '31', '289', '806', '817', '673', '887', '535', '366', '53', '97', '585', '447', '894', '88', '453', '704', '556', '377', '903', '787', '566', '722', '207', '805', '720']
['753', '832', '728', '756', '538', '107', '355', '108', '444', '699', '868', '871', '900', '548', '303', '765', '221', '361', '214', '880', '301', '549', '616', '322', '105', '181', '562', '369', '55', '792', '974', '199', '749', '274', '677', '773', '279', '559', '111', '174', '824', '278', '360', '223', '334', '77', '674', '625', '971']
['834', '925', '41', '101', '156', '70', '368', '620', '104', '844', '59', '331', '21', '457', '828', '225', '459', '370', '905', '514', '498', '592', '298', '899', '542', '781', '581', '281', '275', '969', '909', '778', '497', '191', '341', '892', '414', '231', '419', '195', '644', '530', '812', '442', '242', '86', '949', '809', '193']
['324', '979', '822', '481', '811', '455', '857', '685', '946', '601', '136', '975', '577', '686', '109', '668', '311', '96', '763', '582', '416', '665', '362', '16', '202', '398', '931', '867', '825', '371', '500', '494', '794', '282', '294', '648', '146', '357', '567', '259', '272', '693', '441', '264', '462', '402', '407', '179', '635']
['785', '277', '662', '830', '325', '351', '186', '466', '947', '920', '537', '468', '399', '258', '941', '349', '841', '314', '650', '667', '922', '523', '464', '666', '858', '701', '495', '220', '415', '80', '751', '172', '960', '328', '246', '167', '627', '176', '100', '551', '106', '652', '268', '541', '271', '532', '347', '866', '190']
['60', '731', '790', '630', '896', '388', '664', '424', '204', '413', '536', '754', '304', '521', '703', '798', '721', '583', '638', '769', '338', '713', '782', '595', '12', '379', '560', '421', '505', '26', '305', '400', '165', '646', '392', '501', '503', '318', '451', '574', '747', '684', '14', '390', '337', '682', '340', '889', '273']
['296', '173', '200', '112', '519', '770', '123', '553', '948', '76', '612', '663', '717', '262', '714', '306', '659', '744', '249', '36', '764', '492', '5', '6', '918', '10', '27', '709', '965', '144', '20', '642', '629', '760', '587', '952', '608', '736', '745', '439', '383', '590', '51', '35', '71', '393', '431', '891', '575']
['476', '418', '422', '244', '47', '215', '854', '409', '506', '475', '579', '238', '380', '959', '429', '978', '776', '938', '11', '247', '216', '261', '531', '310', '240', '725', '599', '610', '499', '539', '251', '84', '22', '28', '683', '540', '213', '382', '862', '406', '126', '147', '640', '708', '619', '50', '705', '17', '872']
['827', '636', '151', '697', '508', '748', '478', '878', '103', '425', '120', '302', '847', '217', '555', '570', '955', '253', '293', '209', '290', '285', '241', '254', '845', '738', '930', '472', '308', '73', '752', '211', '291', '864', '330', '373', '515', '140', '471', '148', '940', '576', '921', '670', '255', '483', '265', '729', '890']
['634', '632', '189', '46', '219', '164', '694', '458', '517', '852', '319', '239', '687', '477', '651', '606', '586', '378', '8', '438', '861', '210', '791', '83', '870', '819', '772', '888', '230', '197', '524', '647', '951', '332', '520', '342', '507', '408', '901', '365', '9', '795', '594', '816', '485', '527', '849', '690', '564']
['426', '68', '561', '142', '134', '958', '842', '445', '963', '266', '657', '669', '758', '835', '628', '942', '121', '49', '678', '346', '454', '260', '90', '65', '597', '510', '883', '63', '320', '707', '384', '924', '877', '621', '513', '966', '633', '432', '757', '79', '904', '865', '927', '359', '130', '484', '473', '228', '74']
['479', '529', '417', '463', '116', '588', '358', '43', '491', '218', '618', '719', '855', '848', '98', '624', '884', '81', '910', '224', '489', '56', '724', '780', '820', '78', '375', '280', '741', '571', '367', '977', '95', '99', '206', '434', '814', '533', '613', '967', '411', '363', '276', '327', '490', '815', '859', '170', '789']
['58', '718', '348', '292', '614', '706', '157', '171', '821', '420', '837', '269', '793', '944', '474', '396', '937', '926', '410', '232', '19', '968', '908', '874', '572', '205', '913', '443', '233', '449', '32', '626', '961', '596', '923', '62', '573', '4', '544', '643', '154', '125', '452', '873', '558', '168', '545', '808', '64']
['826', '818', '119', '840', '114', '118', '436', '152', '75', '970', '715', '87', '263', '45', '183', '394', '288', '287', '48', '611', '286', '856', '875', '333', '39', '658', '188', '372', '675', '742', '602', '29', '23', '681', '750', '783', '954', '299', '786', '162', '423', '252', '356', '916', '316', '964', '737', '30', '850']
['762', '917', '829', '907', '243', '283', '803', '93', '469', '898', '237', '774', '603', '853', '117', '344', '509', '129', '267', '153', '141', '680', '914', '428', '932', '691', '869', '660', '919', '102', '881', '404', '24', '546', '615', '461', '150', '813', '38', '161', '127', '695', '552', '203', '187', '775', '433', '89', '511']
