['525', '55', '386', '572', '693', '351']
['219', '289', '149', '673', '460', '414']
['170', '2', '552', '640', '582', '423']
['164', '229', '340', '398', '131', '224']
['26', '461', '393', '381', '446', '327']
['619', '624', '86', '15', '211', '56']
['255', '433', '325', '178', '132', '382']
['659', '109', '208', '63', '339', '73']
['717', '212', '322', '273', '716', '124']
['509', '155', '469', '656', '261', '430']
['549', '407', '675', '245', '45', '64']
['169', '548', '290', '444', '31', '242']
['39', '138', '153', '698', '38', '564']
['66', '329', '206', '143', '65', '166']
['293', '377', '172', '477', '311', '309']
['97', '531', '681', '438', '244', '520']
['412', '8', '703', '667', '579', '154']
['601', '72', '436', '292', '449', '61']
['585', '70', '85', '527', '653', '664']
['134', '83', '264', '234', '390', '246']
['136', '452', '467', '148', '518', '496']
['575', '271', '499', '711', '47', '369']
['278', '331', '10', '334', '4', '431']
['338', '614', '617', '347', '129', '424']
['71', '427', '215', '476', '35', '472']
['719', '674', '455', '298', '704', '660']
['84', '494', '515', '696', '612', '535']
['272', '462', '480', '511', '142', '312']
['709', '489', '529', '13', '120', '141']
['167', '563', '638', '301', '517', '445']
['453', '228', '621', '316', '671', '171']
['474', '523', '409', '543', '247', '459']
['315', '252', '581', '137', '232', '677']
['28', '488', '647', '54', '119', '618']
['187', '487', '676', '253', '350', '473']
['81', '546', '189', '336', '40', '118']
['286', '639', '649', '37', '24', '305']
['400', '356', '225', '479', '481', '99']
['553', '150', '94', '483', '396', '186']
['364', '432', '190', '295', '95', '397']
['646', '378', '458', '609', '682', '636']
['165', '561', '12', '410', '603', '501']
['93', '714', '122', '34', '231', '665']
['50', '240', '296', '222', '360', '82']
['348', '599', '1', '197', '213', '333']
['372', '442', '421', '596', '566', '401']
['192', '30', '106', '493', '545', '357']
['544', '687', '648', '637', '328', '547']
['7', '373', '104', '691', '21', '112']
['389', '591', '332', '359', '600', '275']
['183', '491', '701', '700', '279', '342']
['417', '320', '634', '645', '620', '558']
['302', '319', '159', '226', '633', '399']
['702', '437', '214', '126', '464', '387']
['557', '451', '308', '105', '77', '606']
['57', '168', '363', '210', '670', '115']
['60', '685', '405', '157', '376', '385']
['313', '486', '184', '254', '221', '32']
['177', '277', '341', '628', '321', '611']
['588', '147', '46', '16', '689', '394']
['181', '408', '521', '686', '318', '490']
['514', '107', '554', '644', '259', '388']
['370', '485', '512', '144', '128', '354']
['707', '146', '643', '92', '559', '371']
['249', '694', '284', '358', '196', '631']
['470', '314', '236', '498', '201', '108']
['428', '495', '395', '669', '522', '368']
['413', '173', '662', '188', '78', '182']
['335', '265', '68', '29', '304', '434']
['299', '574', '123', '391', '176', '505']
['672', '422', '306', '627', '556', '456']
['274', '282', '524', '59', '471', '718']
['53', '622', '697', '194', '715', '679']
['310', '62', '27', '533', '492', '361']
['366', '539', '317', '576', '416', '100']
['248', '67', '151', '175', '506', '48']
['337', '586', '76', '415', '484', '268']
['139', '615', '562', '379', '110', '362']
['439', '663', '666', '43', '551', '626']
['629', '101', '297', '625', '583', '87']
['257', '345', '508', '267', '89', '326']
['516', '661', '130', '145', '163', '503']
['571', '630', '121', '468', '541', '712']
['534', '42', '578', '344', '504', '217']
['435', '482', '374', '140', '695', '281']
['180', '250', '420', '602', '710', '690']
['411', '3', '537', '280', '79', '198']
['158', '22', '251', '33', '288', '607']
['80', '199', '207', '623', '550', '209']
['589', '383', '443', '457', '102', '616']
['203', '605', '216', '156', '403', '51']
['536', '185', '343', '593', '426', '380']
['69', '429', '466', '577', '604', '223']
['283', '0', '569', '346', '406', '238']
['708', '161', '447', '540', '9', '18']
['291', '287', '243', '44', '200', '25']
['96', '6', '233', '658', '598', '375']
['680', '294', '419', '657', '263', '635']
['20', '135', '595', '654', '567', '88']
['497', '174', '14', '597', '584', '450']
['323', '587', '613', '11', '526', '668']
['705', '133', '475', '266', '125', '179']
['365', '349', '195', '355', '256', '276']
['650', '448', '392', '642', '610', '19']
['270', '202', '260', '98', '49', '580']
['75', '193', '542', '5', '530', '117']
['608', '324', '510', '402', '74', '330']
['652', '418', '478', '500', '404', '655']
['230', '205', '440', '58', '532', '218']
['699', '519', '568', '160', '538', '241']
['688', '560', '258', '590', '36', '162']
['507', '116', '678', '454', '555', '713']
['367', '204', '90', '269', '191', '441']
['111', '235', '17', '528', '220', '52']
['513', '502', '683', '353', '91', '127']
['565', '262', '352', '152', '239', '103']
['384', '300', '237', '570', '684', '463']
['425', '227', '692', '651', '632', '706']
['114', '465', '303', '307', '23', '113']
['641', '594', '573', '592', '41', '285']
