['234', '205', '397', '627', '337', '86', '441', '489', '547', '417', '5', '191', '318', '162', '644', '331', '182', '440', '559', '340', '154', '149', '42']
['350', '502', '200', '399', '279', '259', '335', '488', '419', '282', '382', '33', '227', '84', '78', '187', '72', '584', '251', '31', '76', '415', '638', '85', '346']
['615', '570', '639', '139', '90', '247', '148', '117', '34', '354', '219', '454', '491', '40', '73', '543', '449', '141', '344', '296', '171', '578', '469', '169', '147']
['231', '277', '596', '363', '163', '138', '573', '240', '438', '186', '387', '290', '146', '505', '280', '17', '598', '571', '461', '414', '358', '620', '492', '192', '157']
['316', '481', '534', '619', '203', '303', '291', '20', '295', '446', '103', '228', '636', '249', '617', '48', '105', '0', '436', '351', '312', '632', '467', '292', '26']
['604', '224', '448', '452', '510', '569', '622', '283', '188', '542', '302', '561', '307', '408', '425', '265', '252', '317', '579', '195', '628', '1', '445', '60', '278']
['221', '470', '574', '95', '462', '98', '319', '167', '401', '142', '97', '4', '198', '274', '434', '272', '151', '597', '364', '511', '443', '304', '220', '478', '458']
['395', '69', '577', '232', '500', '593', '298', '406', '266', '385', '110', '30', '314', '242', '427', '99', '437', '248', '92', '159', '256', '610', '612', '19', '123']
['585', '168', '605', '493', '527', '334', '567', '353', '332', '576', '175', '588', '300', '477', '393', '47', '315', '501', '28', '185', '522', '106', '457', '465', '23']
['640', '64', '12', '119', '439', '629', '546', '533', '201', '128', '130', '199', '125', '558', '82', '257', '523', '625', '305', '515', '101', '609', '206', '294', '297']
['258', '276', '112', '57', '466', '581', '402', '286', '109', '22', '430', '161', '173', '243', '74', '486', '607', '108', '621', '606', '131', '183', '16', '126', '595']
['555', '540', '521', '253', '592', '204', '54', '460', '27', '381', '447', '38', '289', '541', '376', '359', '420', '482', '554', '563', '479', '13', '96', '210', '357']
['45', '587', '459', '590', '190', '487', '532', '229', '208', '184', '178', '549', '15', '260', '293', '100', '180', '431', '237', '213', '63', '380', '348', '566', '102']
['52', '508', '480', '582', '235', '474', '181', '383', '202', '222', '557', '58', '121', '313', '370', '390', '551', '453', '225', '426', '630', '189', '613', '77', '137']
['53', '267', '484', '127', '422', '506', '400', '421', '262', '377', '432', '275', '70', '366', '268', '451', '345', '336', '504', '2', '214', '285', '643', '311', '497']
['233', '104', '239', '409', '160', '580', '309', '217', '150', '529', '398', '531', '507', '624', '424', '338', '59', '172', '310', '603', '631', '93', '471', '641', '330']
['263', '496', '519', '535', '41', '518', '176', '634', '56', '207', '144', '525', '442', '118', '490', '392', '517', '642', '65', '635', '416', '50', '164', '503', '6']
['591', '396', '373', '122', '608', '269', '11', '156', '483', '450', '43', '537', '456', '299', '536', '215', '429', '499', '177', '133', '512', '530', '241', '21', '46']
['423', '75', '9', '143', '562', '320', '193', '194', '544', '586', '174', '211', '129', '369', '115', '476', '329', '583', '553', '342', '374', '361', '463', '339', '355']
['356', '379', '287', '347', '545', '528', '475', '472', '271', '389', '66', '158', '352', '509', '25', '327', '261', '196', '526', '637', '246', '324', '322', '341', '435']
['113', '71', '618', '418', '306', '250', '281', '218', '391', '520', '36', '594', '91', '565', '572', '94', '410', '600', '87', '384', '413', '135', '273', '116', '18']
['197', '428', '209', '37', '473', '155', '244', '152', '514', '513', '107', '404', '114', '328', '455', '388', '539', '378', '375', '179', '564', '7', '111']
['32', '124', '226', '35', '386', '89', '568', '433', '3', '166', '134', '538', '24', '120', '51', '468', '444', '343', '614', '333', '601', '223', '552', '494', '349']
['516', '255', '136', '548', '524', '67', '39', '485', '140', '270', '80', '556', '55', '145', '616', '284', '623', '170', '633', '83', '216', '245', '29', '68', '412']
['367', '49', '550', '325', '321', '264', '236', '589', '81', '495', '62', '407', '365', '405', '323', '464', '132', '8', '153', '360', '61', '602', '88', '372']
['301', '14', '403', '362', '326', '212', '230', '560', '44', '599', '288', '165', '626', '254', '394', '10', '371', '308', '498', '238', '79', '611', '411', '368', '575']
