['93', '500', '136', '156', '505', '921', '579', '298', '163', '30', '664', '877', '61', '85', '417', '257', '723', '799', '766', '624', '117', '20', '249', '132', '324', '739', '363', '772', '816', '728', '162']
['141', '666', '310', '170', '857', '872', '100', '292', '397', '680', '933', '74', '553', '157', '352', '477', '77', '9', '859', '526', '400', '667', '44', '884', '12', '821', '106', '745', '336', '137', '946']
['802', '322', '63', '525', '822', '86', '205', '899', '438', '278', '932', '90', '341', '127', '833', '855', '130', '864', '940', '621', '23', '259', '189', '306', '27', '362', '903', '307', '140', '25', '762']
['569', '440', '558', '637', '73', '330', '360', '759', '124', '415', '842', '332', '134', '401', '262', '791', '734', '796', '832', '152', '488', '800', '851', '428', '120', '881', '499', '121', '570', '520', '238']
['386', '215', '856', '737', '511', '207', '828', '865', '183', '604', '718', '752', '960', '1', '452', '834', '97', '957', '760', '601', '450', '891', '585', '910', '236', '342', '503', '193', '381', '704', '770']
['784', '801', '234', '631', '109', '160', '18', '389', '691', '305', '350', '313', '158', '565', '333', '38', '402', '294', '41', '707', '359', '687', '781', '449', '430', '625', '689', '815', '108', '326', '181']
['845', '567', '112', '944', '19', '365', '699', '104', '545', '563', '56', '773', '633', '42', '367', '895', '268', '251', '295', '478', '539', '446', '647', '197', '244', '612', '630', '96', '202', '747', '119']
['103', '527', '76', '190', '407', '913', '533', '582', '287', '866', '858', '726', '45', '889', '798', '696', '948', '60', '26', '531', '548', '358', '740', '331', '441', '204', '442', '790', '247', '377', '241']
['934', '335', '161', '756', '375', '937', '494', '54', '874', '67', '460', '355', '37', '51', '776', '65', '242', '727', '273', '232', '235', '849', '557', '782', '823', '384', '489', '629', '677', '841', '347']
['564', '464', '915', '792', '351', '596', '280', '871', '571', '223', '159', '878', '513', '837', '231', '603', '148', '717', '920', '418', '847', '224', '59', '220', '15', '894', '708', '824', '605', '949', '300']
['414', '530', '764', '70', '640', '900', '253', '195', '617', '901', '343', '635', '560', '831', '411', '561', '289', '938', '150', '954', '663', '436', '382', '413', '804', '29', '11', '71', '284', '110', '303']
['21', '116', '31', '408', '281', '808', '950', '379', '706', '846', '154', '248', '84', '357', '754', '453', '296', '405', '668', '807', '608', '838', '744', '225', '105', '320', '547', '102', '552', '908', '66']
['883', '153', '484', '406', '133', '573', '209', '684', '213', '787', '265', '28', '217', '13', '91', '589', '514', '191', '516', '293', '811', '817', '875', '870', '439', '87', '495', '549', '49', '387', '211']
['361', '897', '678', '714', '325', '716', '836', '230', '172', '713', '758', '789', '497', '328', '665', '697', '693', '482', '528', '861', '576', '922', '819', '661', '334', '850', '345', '622', '566', '255', '543']
['648', '378', '376', '340', '721', '618', '590', '777', '261', '474', '623', '299', '487', '924', '698', '256', '466', '492', '203', '252', '239', '763', '803', '349', '639', '541', '155', '686', '880', '126', '175']
['662', '719', '473', '302', '354', '383', '274', '35', '462', '271', '741', '830', '840', '904', '927', '404', '479', '425', '337', '519', '282', '952', '729', '270', '490', '471', '658', '930', '177', '221', '768']
['266', '95', '918', '254', '185', '432', '580', '694', '731', '344', '456', '919', '645', '52', '852', '869', '751', '826', '529', '329', '614', '642', '906', '733', '839', '649', '353', '829', '327', '892', '113']
['192', '595', '876', '196', '14', '620', '62', '219', '68', '174', '250', '416', '142', '311', '147', '774', '176', '201', '16', '114', '164', '276', '947', '709', '308', '218', '720', '272', '923', '346', '79']
['111', '385', '767', '700', '814', '742', '654', '206', '746', '555', '390', '562', '610', '942', '753', '445', '584', '240', '509', '848', '422', '391', '421', '149', '914', '81', '600', '179', '491', '2', '173']
['931', '609', '78', '607', '634', '46', '171', '7', '711', '650', '907', '679', '825', '911', '279', '587', '243', '583', '94', '398', '692', '873', '925', '652', '50', '338', '356', '388', '166', '24', '941']
['783', '40', '659', '10', '80', '419', '454', '788', '125', '888', '447', '372', '429', '778', '486', '886', '683', '314', '581', '448', '810', '371', '780', '681', '685', '523', '467', '936', '712', '145', '64']
['586', '92', '682', '227', '424', '502', '469', '373', '732', '433', '657', '72', '348', '916', '688', '898', '167', '926', '619', '297', '43', '437', '434', '805', '199', '613', '83', '182', '457', '670', '455']
['785', '485', '705', '184', '498', '17', '443', '909', '75', '186', '591', '501', '779', '653', '82', '58', '626', '896', '735', '674', '786', '507', '316', '480', '472', '180', '5', '22', '188', '703', '264']
['917', '493', '459', '216', '323', '879', '535', '769', '660', '743', '701', '36', '420', '750', '956', '435', '793', '143', '286', '291', '364', '468', '369', '749', '8', '542', '928', '370', '715', '275', '123']
['538', '233', '602', '627', '939', '258', '599', '277', '118', '550', '656', '508', '521', '676', '0', '210', '426', '863', '574', '69', '794', '496', '638', '304', '101', '317', '593', '107', '775', '88', '315']
['151', '403', '710', '738', '47', '695', '951', '285', '53', '506', '959', '412', '39', '534', '675', '559', '893', '283', '532', '246', '611', '537', '887', '597', '260', '755', '470', '671', '135', '214', '139']
['540', '644', '33', '465', '48', '138', '544', '89', '169', '476', '301', '393', '646', '444', '885', '655', '128', '115', '269', '463', '380', '724', '98', '458', '867', '423', '222', '165', '771', '245', '309']
['394', '122', '945', '321', '481', '427', '226', '730', '955', '912', '953', '339', '431', '451', '3', '524', '606', '958', '615', '757', '6', '843', '57', '651', '146', '518', '853', '198', '628', '722', '736']
['461', '616', '178', '862', '194', '669', '812', '515', '229', '827', '504', '935', '475', '588', '399', '288', '568', '556', '818', '905', '318', '522', '319', '820', '392', '144', '554', '374', '200', '854', '396']
['512', '410', '551', '594', '228', '208', '575', '761', '368', '902', '882', '890', '483', '765', '510', '641', '99', '536', '673', '546', '168', '813', '577', '643', '844', '572', '860', '32', '578', '702', '267']
['690', '672', '725', '409', '131', '55', '632', '34', '129', '366', '748', '290', '517', '212', '795', '187', '263', '598', '929', '312', '835', '395', '806', '868', '4', '636', '592', '943', '797', '809', '237']
