['464', '36', '299', '108', '298', '230', '369', '484', '222', '453']
['391', '218', '396', '268', '352', '186', '158', '428', '423', '333']
['169', '395', '342', '220', '9', '55', '476', '104', '198', '39']
['116', '261', '469', '441', '384', '204', '410', '398', '376', '431']
['282', '412', '236', '50', '216', '29', '150', '196', '26', '32']
['101', '241', '445', '387', '474', '56', '403', '483', '44', '361']
['338', '323', '151', '458', '148', '80', '468', '214', '488', '13']
['212', '110', '103', '206', '46', '51', '3', '145', '254', '335']
['417', '460', '397', '201', '177', '183', '7', '134', '260', '273']
['343', '430', '309', '149', '462', '382', '375', '99', '406', '377']
['291', '78', '295', '360', '438', '388', '437', '452', '138', '164']
['139', '294', '326', '109', '233', '368', '482', '166', '310', '493']
['256', '357', '18', '133', '111', '107', '390', '374', '281', '370']
['181', '0', '327', '12', '341', '383', '244', '279', '322', '156']
['267', '38', '83', '444', '182', '89', '490', '272', '161', '118']
['465', '433', '446', '473', '28', '65', '4', '129', '35', '14']
['386', '64', '334', '400', '41', '184', '346', '97', '348', '192']
['31', '407', '23', '43', '300', '154', '162', '105', '366', '315']
['174', '40', '470', '67', '77', '265', '245', '321', '167', '121']
['45', '325', '243', '409', '185', '106', '137', '120', '319', '163']
['52', '227', '448', '19', '190', '85', '367', '178', '119', '329']
['324', '49', '102', '274', '413', '447', '21', '401', '132', '8']
['427', '157', '195', '79', '264', '239', '202', '171', '72', '371']
['278', '499', '350', '354', '6', '168', '308', '10', '328', '231']
['155', '208', '393', '471', '414', '332', '115', '248', '283', '475']
['205', '372', '353', '59', '232', '496', '292', '224', '123', '173']
['219', '389', '92', '266', '63', '439', '479', '11', '147', '356']
['304', '262', '247', '37', '358', '286', '191', '373', '497', '98']
['477', '124', '93', '210', '290', '432', '318', '30', '152', '127']
['421', '311', '337', '320', '288', '284', '125', '402', '197', '472']
['449', '351', '302', '24', '176', '27', '180', '455', '58', '228']
['257', '86', '312', '429', '269', '140', '146', '69', '229', '95']
['416', '33', '336', '242', '381', '22', '344', '82', '276', '419']
['87', '494', '275', '211', '405', '213', '200', '159', '385', '450']
['467', '131', '76', '170', '306', '296', '90', '422', '380', '340']
['114', '280', '408', '301', '480', '15', '238', '316', '16', '2']
['71', '485', '314', '226', '486', '491', '303', '461', '481', '287']
['88', '135', '305', '122', '215', '73', '194', '199', '297', '420']
['217', '57', '271', '456', '415', '141', '293', '1', '175', '289']
['255', '489', '143', '209', '172', '61', '68', '425', '451', '285']
['96', '225', '250', '440', '378', '495', '454', '25', '478', '60']
['144', '252', '426', '160', '345', '404', '5', '75', '253', '258']
['362', '347', '434', '47', '498', '249', '193', '179', '20', '435']
['42', '246', '188', '259', '81', '339', '100', '317', '492', '436']
['379', '240', '189', '48', '223', '313', '270', '399', '394', '94']
['70', '277', '142', '203', '17', '411', '330', '237', '442', '251']
['117', '74', '153', '459', '54', '221', '466', '463', '130', '53']
['207', '307', '112', '34', '91', '363', '364', '487', '331', '418']
['365', '235', '349', '234', '126', '392', '187', '62', '457', '136']
['424', '66', '113', '128', '84', '165', '263', '359', '443', '355']
