['77', '170', '258']
['655', '856', '188']
['808', '690', '525']
['235', '759', '880']
['192', '543', '650']
['108', '76', '814']
['574', '848', '925']
['241', '332', '5']
['65', '966', '915']
['256', '850', '870']
['826', '985', '528']
['840', '9', '429']
['897', '995', '446']
['750', '214', '697']
['152', '102', '977']
['298', '663', '728']
['164', '504', '869']
['747', '216', '178']
['825', '882', '559']
['395', '801', '299']
['566', '79', '448']
['601', '61', '467']
['124', '938', '773']
['547', '495', '381']
['400', '176', '163']
['105', '153', '338']
['529', '32', '628']
['810', '459', '186']
['878', '51', '461']
['378', '270', '245']
['687', '350', '341']
['432', '182', '611']
['881', '998', '300']
['210', '313', '287']
['84', '862', '437']
['193', '582', '174']
['957', '197', '220']
['843', '946', '219']
['434', '668', '399']
['43', '277', '949']
['672', '669', '474']
['772', '522', '674']
['693', '891', '471']
['901', '280', '795']
['575', '403', '73']
['793', '746', '572']
['351', '151', '849']
['200', '691', '546']
['319', '72', '621']
['18', '242', '390']
['868', '484', '322']
['273', '392', '954']
['990', '719', '368']
['956', '803', '426']
['523', '683', '950']
['964', '770', '521']
['433', '502', '110']
['588', '314', '383']
['345', '659', '444']
['579', '127', '337']
['456', '661', '660']
['845', '185', '815']
['490', '28', '506']
['325', '889', '8']
['293', '97', '44']
['393', '172', '34']
['327', '19', '805']
['800', '863', '549']
['706', '771', '346']
['405', '792', '700']
['884', '439', '217']
['973', '912', '190']
['505', '594', '331']
['783', '45', '125']
['206', '265', '646']
['859', '473', '16']
['96', '765', '321']
['560', '544', '694']
['441', '532', '472']
['173', '450', '290']
['624', '542', '348']
['752', '329', '637']
['712', '207']
['608', '907', '234']
['81', '769', '167']
['615', '835', '922']
['809', '223', '536']
['951', '597', '734']
['231', '326', '720']
['24', '412', '60']
['435', '409', '871']
['510', '953', '148']
['222', '989', '268']
['538', '927', '580']
['786', '31', '323']
['14', '195', '965']
['982', '37', '991']
['649', '91', '643']
['376', '194', '886']
['714', '609', '942']
['910', '917', '260']
['645', '681', '916']
['391', '678', '98']
['250', '372', '735']
['49', '103', '370']
['673', '682', '135']
['118', '30', '369']
['227', '625', '156']
['911', '846', '823']
['867', '23', '304']
['779', '334', '21']
['757', '357', '226']
['464', '955', '629']
['356', '948', '340']
['999', '438', '68']
['817', '253', '527']
['904', '959', '236']
['796', '551', '361']
['892', '517', '731']
['27', '140', '933']
['248', '994', '15']
['635', '87', '397']
['233', '821', '832']
['160', '407', '987']
['970', '396', '626']
['155', '704', '639']
['979', '864', '417']
['255', '513', '333']
['311', '738', '119']
['662', '59', '373']
['589', '315', '599']
['561', '715', '924']
['366', '501', '230']
['485', '514', '269']
['585', '553', '732']
['229', '74', '824']
['947', '224', '78']
['540', '198', '548']
['147', '134', '651']
['692', '38', '247']
['602', '310', '115']
['421', '416']
['768', '377', '465']
['371', '962', '92']
['26', '3', '339']
['489', '289', '158']
['874', '614', '782']
['713', '183', '847']
['209', '171', '179']
['923', '744', '827']
['69', '900', '305']
['149', '918', '503']
['873', '476', '838']
['721', '612', '739']
['117', '404', '648']
['204', '945', '986']
['272', '58', '511']
['587', '478', '675']
['221', '887', '622']
['71', '317', '895']
['362', '80', '631']
['109', '539', '623']
['460', '297', '303']
['254', '944', '762']
['736', '380', '996']
['286', '308', '414']
['751', '116', '83']
['820', '906', '789']
['592', '7', '636']
['804', '829', '136']
['99', '166', '733']
['401', '157', '6']
['812', '526', '261']
['941', '854', '128']
['352', '53', '743']
['328', '316', '360']
['784', '533', '535']
['237', '154', '767']
['257', '63', '138']
['562', '457', '584']
['875', '866', '921']
['259', '688', '657']
['984', '908', '670']
['479', '470', '727']
['57', '816', '402']
['591', '462', '212']
['613', '263', '355']
['275', '893', '630']
['819', '232', '251']
['653', '499', '618']
['112', '930', '556']
['583', '644', '640']
['709', '932', '654']
['842', '685', '616']
['17', '161', '491']
['967', '430', '90']
['570', '961', '196']
['243', '410', '342']
['699', '724', '627']
['482', '586', '534']
['177', '215', '620']
['141', '960', '101']
['35', '123', '722']
['913', '664', '557']
['452', '320', '703']
['813', '787', '347']
['647', '935', '680']
['992', '468', '48']
['85', '307', '143']
['822', '531', '398']
['851', '997', '550']
['46', '318', '929']
['228', '976', '95']
['865', '939', '723']
['445', '593', '475']
['590', '494', '777']
['952', '702', '132']
['983', '394', '312']
['144', '667', '509']
['100', '384', '431']
['201', '131', '480']
['264', '652', '359']
['453', '577', '70']
['968', '931', '902']
['447', '677', '301']
['39', '725', '914']
['487', '780', '111']
['406', '309', '40']
['754', '288', '463']
['486', '974', '126']
['374', '834', '276']
['353', '807', '363']
['981', '187', '833']
['2', '67', '841']
['578', '790', '563']
['343', '86', '75']
['493', '29', '853']
['42', '181', '454']
['552', '726', '852']
['218', '121', '794']
['695', '199', '565']
['818', '711', '903']
['756', '828', '424']
['564', '603', '600']
['799', '898', '469']
['679', '541', '133']
['292', '137', '0']
['861', '745', '344']
['696', '858', '876']
['294', '89', '537']
['114', '607', '775']
['336', '282', '737']
['244', '857', '811']
['497', '753', '47']
['443', '349', '569']
['963', '988', '425']
['113', '972', '665']
['146', '633', '507']
['4', '958', '766']
['387', '246', '106']
['25', '707', '764']
['555', '788', '656']
['379', '671', '606']
['189', '427', '518']
['93', '139', '836']
['969', '926', '107']
['980', '975', '717']
['742', '211', '165']
['365', '281', '66']
['993', '785', '306']
['749', '252', '145']
['774', '88', '266']
['367', '191', '567']
['605', '492', '496']
['971', '458', '413']
['798', '389', '36']
['82', '477', '705']
['860', '455', '716']
['791', '512', '483']
['415', '364', '558']
['802', '20', '890']
['202', '52', '279']
['937', '909', '420']
['11', '122', '806']
['13', '1', '375']
['524', '883', '162']
['94', '596', '385']
['598', '515', '928']
['763', '839', '120']
['274', '519', '382']
['169', '203', '516']
['498', '508', '581']
['729', '710', '262']
['634', '641', '919']
['12', '302', '130']
['419', '249', '41']
['500', '358', '408']
['554', '62', '449']
['466', '830', '576']
['741', '610', '388']
['730', '530', '418']
['781', '481', '283']
['422', '877', '571']
['354', '213', '545']
['920', '642', '442']
['844', '758', '10']
['934', '740', '324']
['33', '22', '638']
['595', '296', '208']
['684', '632', '872']
['698', '64', '440']
['150', '899', '888']
['142', '271', '617']
['104', '666', '619']
['879', '896', '436']
['943', '180', '905']
['755', '225', '411']
['267', '291', '837']
['520', '54', '284']
['778', '278', '386']
['940', '831', '175']
['936', '676', '701']
['689', '568', '205']
['423', '776', '295']
['855', '285', '335']
['330', '240', '718']
['238', '658', '760']
['451', '748', '797']
['604', '894', '428']
['708', '159', '573']
['168', '761', '129']
['50', '885', '55']
['239', '978', '686']
['56', '184', '488']
