['239', '580', '26', '671', '443', '227', '468']
['497', '420', '165', '248', '536', '408', '89']
['617', '159', '351', '674', '595', '649', '457']
['47', '625', '459', '657', '86', '117', '601']
['287', '275', '450', '621', '366', '516', '98']
['27', '697', '360', '14', '346', '74', '386']
['81', '213', '100', '264', '327', '466', '415']
['350', '135', '174', '167', '507', '454', '333']
['249', '57', '535', '393', '612', '605', '357']
['688', '692', '295', '19', '180', '396', '374']
['413', '391', '377', '226', '233', '40', '187']
['30', '505', '259', '655', '591', '9', '231']
['166', '234', '613', '656', '51', '409', '31']
['210', '414', '11', '384', '589', '594', '84']
['311', '480', '611', '265', '293', '163', '610']
['185', '458', '587', '574', '378', '245', '690']
['214', '193', '565', '122', '453', '673', '451']
['268', '650', '564', '633', '604', '68', '652']
['385', '551', '70', '162', '132', '179', '663']
['424', '369', '573', '136', '491', '87', '324']
['35', '552', '489', '306', '646', '373', '263']
['406', '205', '462', '498', '353', '694', '685']
['388', '313', '334', '150', '477', '308', '216']
['526', '28', '99', '300', '309', '511', '142']
['274', '550', '137', '225', '120', '534', '368']
['288', '236', '276', '2', '279', '390', '698']
['427', '97', '283', '34', '380', '244', '108']
['518', '608', '18', '184', '38', '126', '58']
['467', '220', '219', '138', '383', '602', '635']
['253', '128', '648', '555', '485', '53', '254']
['326', '113', '660', '504', '636', '182', '449']
['356', '115', '618', '256', '176', '501', '228']
['195', '365', '615', '653', '271', '145', '533']
['252', '110', '82', '161', '644', '439', '568']
['29', '563', '461', '342', '479', '512', '337']
['452', '532', '400', '331', '509', '624', '371']
['379', '359', '417', '559', '493', '278', '191']
['490', '90', '151', '579', '153', '472', '581']
['329', '553', '476', '336', '606', '262', '297']
['203', '426', '607', '566', '294', '17', '513']
['118', '296', '632', '664', '139', '291', '667']
['133', '519', '168', '197', '188', '42', '200']
['260', '410', '257', '209', '422', '79', '204']
['640', '144', '237', '44', '71', '1', '330']
['364', '486', '50', '59', '470', '541', '196']
['39', '639', '173', '3', '208', '543', '672']
['571', '131', '687', '352', '678', '77', '15']
['362', '215', '280', '376', '538', '481', '367']
['686', '389', '250', '549', '266', '382', '247']
['304', '547', '277', '186', '578', '642', '680']
['317', '428', '48', '677', '394', '341', '447']
['94', '307', '238', '502', '537', '586', '556']
['494', '637', '319', '662', '338', '471', '303']
['5', '78', '8', '693', '141', '548', '397']
['463', '691', '143', '246', '659', '76', '88']
['567', '235', '597', '375', '522', '508', '199']
['446', '675', '588', '600', '363', '43', '93']
['599', '56', '419', '69', '416', '411', '682']
['73', '92', '63', '284', '503', '125', '434']
['524', '695', '432', '206', '20', '224', '622']
['312', '169', '36', '433', '495', '561', '49']
['630', '154', '298', '83', '670', '418', '183']
['492', '314', '282', '554', '104', '438', '521']
['603', '121', '146', '158', '221', '569', '531']
['4', '60', '106', '289', '335', '506', '442']
['398', '315', '258', '661', '102', '114', '395']
['596', '576', '80', '149', '679', '61', '269']
['475', '267', '583', '631', '316', '654', '643']
['45', '558', '10', '178', '347', '399', '448']
['387', '301', '343', '641', '223', '54', '435']
['614', '103', '403', '444', '95', '431', '105']
['349', '412', '620', '13', '322', '616', '436']
['430', '669', '665', '72', '658', '560', '325']
['689', '175', '194', '25', '134', '696', '23']
['107', '147', '584', '425', '170', '634', '240']
['305', '270', '455', '101', '116', '575', '488']
['91', '152', '381', '460', '109', '445', '401']
['562', '345', '177', '156', '482', '474', '456']
['181', '261', '251', '41', '12', '292', '668']
['570', '629', '55', '666', '699', '243', '7']
['211', '638', '592', '192', '681', '372', '85']
['127', '539', '32', '465', '65', '75', '218']
['542', '340', '441', '164', '582', '155', '407']
['651', '684', '124', '230', '645', '464', '683']
['273', '361', '201', '16', '339', '111', '96']
['130', '525', '129', '272', '557', '527', '515']
['212', '473', '354', '232', '619', '286', '222']
['299', '676', '626', '496', '437', '52', '318']
['37', '6', '469', '484', '323', '112', '499']
['623', '189', '241', '148', '66', '123', '67']
['628', '190', '370', '302', '217', '321', '229']
['285', '520', '21', '0', '171', '290', '429']
['647', '405', '310', '609', '421', '140', '119']
['46', '281', '202', '546', '242', '440', '207']
['33', '404', '487', '392', '510', '24', '530']
['64', '320', '528', '572', '160', '627', '198']
['540', '500', '590', '157', '577', '22', '585']
['355', '402', '593', '423', '545', '332', '598']
['172', '483', '358', '514', '62', '478', '517']
['529', '328', '348', '255', '544', '523', '344']
