['105', '826', '972', '356', '362', '374', '413', '956', '380', '162', '545', '723', '831', '471', '435', '674', '958', '155', '947', '187', '431', '103', '75', '615', '319', '798', '556', '760', '479', '591', '703', '919', '475', '518', '573', '296', '746', '809', '838', '294', '301', '98', '568', '368', '458', '847', '601', '385', '225', '415']
['512', '808', '228', '442', '643', '732', '219', '167', '853', '764', '531', '79', '738', '159', '497', '325', '189', '567', '724', '74', '758', '42', '906', '182', '58', '56', '652', '923', '928', '422', '570', '146', '209', '276', '863', '121', '388', '416', '979', '860', '707', '633', '423', '815', '47', '392', '246', '868', '156', '772']
['114', '441', '679', '221', '825', '608', '353', '735', '290', '714', '263', '737', '310', '520', '914', '470', '719', '571', '399', '517', '193', '700', '468', '78', '960', '731', '439', '172', '727', '231', '190', '744', '939', '300', '865', '196', '891', '925', '895', '370', '194', '264', '965', '677', '323', '623', '210', '878', '763', '204']
['870', '892', '898', '681', '198', '76', '116', '538', '80', '978', '942', '77', '660', '889', '966', '215', '483', '179', '112', '407', '222', '345', '393', '970', '34', '149', '893', '833', '405', '726', '845', '622', '83', '106', '832', '292', '286', '318', '454', '593', '718', '503', '152', '950', '134', '606', '327', '654', '688', '277']
['504', '596', '308', '616', '88', '618', '769', '444', '998', '908', '665', '806', '81', '154', '508', '793', '147', '823', '934', '291', '220', '239', '701', '230', '582', '792', '619', '712', '873', '529', '607', '946', '600', '544', '148', '463', '625', '749', '944', '820', '27', '662', '765', '367', '801', '739', '339', '931', '153', '534']
['530', '186', '360', '445', '373', '115', '245', '248', '253', '369', '181', '492', '357', '869', '929', '709', '449', '624', '673', '653', '404', '139', '975', '692', '780', '613', '513', '578', '233', '775', '667', '620', '835', '173', '82', '304', '10', '107', '177', '894', '384', '351', '366', '514', '184', '293', '818', '626', '668', '843']
['569', '456', '158', '563', '861', '612', '666', '23', '710', '523', '658', '247', '31', '26', '767', '355', '542', '937', '617', '402', '964', '807', '938', '584', '52', '91', '805', '183', '900', '590', '602', '486', '954', '38', '133', '62', '678', '814', '236', '175', '635', '126', '238', '988', '240', '65', '985', '644', '698', '866']
['95', '255', '755', '55', '800', '487', '386', '926', '396', '580', '274', '695', '328', '559', '740', '676', '828', '708', '287', '359', '474', '532', '917', '539', '794', '11', '117', '64', '414', '540', '195', '728', '858', '32', '485', '452', '297', '418', '241', '111', '670', '348', '142', '289', '434', '332', '973', '216', '382', '66']
['397', '217', '525', '457', '381', '803', '109', '15', '824', '320', '17', '577', '990', '575', '789', '886', '72', '411', '199', '762', '506', '157', '100', '272', '30', '234', '505', '932', '778', '987', '252', '389', '13', '862', '352', '101', '229', '996', '797', '280', '178', '305', '768', '19', '113', '347', '257', '338', '408', '151']
['99', '836', '440', '21', '493', '202', '251', '659', '211', '711', '365', '610', '120', '743', '472', '636', '813', '648', '854', '136', '901', '837', '742', '437', '779', '519', '896', '887', '879', '33', '750', '598', '275', '260', '341', '372', '137', '125', '185', '804', '336', '955', '63', '203', '311', '876', '641', '992', '795', '859']
['197', '603', '791', '243', '842', '717', '394', '614', '685', '163', '317', '560', '850', '747', '645', '741', '168', '261', '9', '18', '579', '991', '269', '375', '871', '377', '874', '71', '391', '661', '557', '930', '552', '941', '989', '565', '817', '721', '427', '324', '41', '16', '796', '170', '888', '697', '45', '922', '54', '188']
