['417', '342', '748', '190', '21', '647', '640', '315', '755', '261', '25', '39', '62', '929', '10', '227', '868', '85', '282', '767', '230', '672', '815', '107', '646', '799', '689', '164', '698', '180']
['779', '529', '72', '522', '47', '37', '664', '454', '958', '791', '912', '708', '951', '980', '449', '382', '694', '786', '977', '911', '908', '830', '178', '130', '754', '40', '855', '9', '536', '762', '383', '582', '58', '520', '586', '29', '496', '32', '796', '93', '42', '272', '956', '408', '550', '800', '987', '857', '510', '707']
['80', '241', '259', '220', '777', '254', '354', '600', '625', '890', '988', '277', '756', '673', '663', '589', '765', '294', '789', '486', '380', '26', '187', '160', '150', '971', '235', '701', '52', '511', '269', '81', '458', '599', '256', '367', '425', '290', '125', '239', '57', '464', '521', '716', '505', '740', '262', '347', '364', '436']
['676', '671', '388', '729', '260', '781', '170', '352', '630', '288', '17', '669', '543', '138', '330', '745', '68', '366', '527', '213', '897', '732', '930', '849', '812', '161', '622', '866', '999', '718', '204', '613', '192', '720', '141', '760', '735', '945', '578', '660', '592', '611', '176', '453', '921', '619', '854', '595', '87', '737']
['276', '684', '441', '371', '7', '692', '344', '5', '773', '932', '169', '953', '258', '577', '126', '108', '274', '266', '77', '852', '500', '55', '457', '887', '683', '918', '387', '580', '492']
['501', '494', '896', '248', '420', '332', '339', '639', '246', '394', '566', '568', '792', '463', '356', '194', '264', '146', '730', '994', '304', '411', '233', '322', '147', '508', '915', '70', '97', '706', '2', '674', '923', '535', '328', '316', '438', '398', '186', '202', '181', '667', '585', '451', '801', '835', '215', '863', '249', '649']
['643', '471', '840', '573', '892', '651', '484', '292', '820', '136', '478', '934', '469', '73', '557', '439', '655', '485', '615', '416', '240', '846', '992', '662', '751', '784', '696', '545', '758', '110', '175', '98', '652', '397', '551', '283', '217', '414', '105', '155', '476', '129', '627', '343', '24', '766', '309', '253', '794', '518']
['206', '875', '251', '334', '602', '623', '267', '481', '937', '865', '221', '498', '893', '226', '902', '583', '824', '626', '771', '145', '45', '847', '738', '811', '841', '355', '787', '140', '359', '870', '858', '115', '772', '882', '208', '310', '968', '969', '628', '828', '198', '461', '391', '860', '608', '986', '434', '177', '247', '419']
['341', '658', '502', '413', '634', '524', '709', '143', '381', '482', '802', '704', '336', '552', '285', '872', '156', '598', '122', '733', '631', '487', '142', '197', '278', '572', '353', '900', '601', '296', '880', '28', '788', '862', '554', '826', '785', '392', '234', '445', '556', '447', '541', '250', '575', '927', '59', '430', '965', '410']
['903', '92', '298', '590', '168', '243', '985', '182', '561', '393', '517', '759', '358', '734', '280', '798', '148', '323', '790', '832', '614', '64', '822', '526', '372', '224', '255', '289', '399', '216', '402', '19', '236', '401', '18', '850', '809', '597', '116', '348', '327', '4', '721', '883', '63', '384', '569', '483', '244', '127']
['805', '894', '899', '995', '257', '389', '565', '284', '823', '889', '719', '654', '952', '263', '338', '281', '299', '60', '467', '96', '442', '528', '468', '936', '997', '345', '423', '807', '31', '838', '752', '159', '538', '920', '612', '133', '112', '71', '265', '540', '406', '723', '357', '427', '16', '913', '34', '877', '564', '856']
['579', '54', '369', '135', '459', '825', '102', '702', '687', '275', '22', '405', '491', '350', '503', '661', '222', '697', '312', '725', '89', '509', '78', '891', '440', '390', '195', '705', '395', '245', '679', '157', '594', '547', '219', '813', '79', '691', '113', '843', '776', '149', '816', '907', '690', '941', '780', '515', '867', '225']
['121', '50', '973', '804', '935', '495', '66', '926', '803', '455', '878', '163', '555', '44', '351', '700', '373', '268', '319', '581', '153', '53', '571', '944', '629', '819', '365', '876', '307', '82', '570', '513', '844', '898', '873', '757', '633', '519', '11', '764', '238', '688', '252', '645', '703', '346', '817', '173', '966', '984']
['746', '711', '111', '424', '957', '94', '584', '539', '205', '593', '869', '75', '196', '74', '490', '209', '884', '713', '109', '681', '881', '763', '333', '158', '6', '48', '228', '610', '426', '76', '396', '231', '429', '474', '909', '960', '943', '559', '928', '329', '335']
['349', '103', '218', '86', '967', '670', '970', '742', '33', '303', '553', '313', '685', '184', '20', '530', '368', '375', '473', '412', '879', '154', '975', '833', '770', '56', '648', '919', '632', '428', '906', '744', '306', '507', '166', '497', '0', '472', '962', '232', '938', '99', '950', '546', '715', '644', '793', '948', '242', '95']
['650', '172', '120', '808', '421', '409', '686', '874', '321', '185', '549', '537', '69', '954', '418', '845', '302', '743', '562', '466', '512', '739', '23', '88', '12', '839', '404', '377', '514', '210', '886', '119', '3', '750', '291', '114', '15', '983', '199', '301', '183', '531', '917', '137', '990', '325', '489', '237', '981', '714']
['456', '46', '305', '576', '998', '678', '297', '36', '621', '624', '117', '8', '38', '768', '295', '620', '376', '665', '837', '842', '340', '131', '996', '30', '814', '989', '961', '726', '848', '134', '84', '607', '132', '914', '446', '128', '477', '465', '905', '270', '924', '871', '100', '728', '431', '437', '188', '940', '959', '14']
['203', '386', '563', '769', '499', '797', '407', '682', '523', '324', '479', '782', '724', '827', '567', '895', '636', '741', '656', '901', '761', '314', '851', '118', '991', '947', '318', '653', '783', '191', '317', '533', '659', '67', '300', '106', '435', '311', '916', '695', '223', '450', '747', '574', '462', '677', '675', '972', '657', '49']
['200', '83', '753', '443', '201', '448', '668', '212', '609', '444', '189', '818', '1', '361', '712', '326', '806', '101', '810', '666', '548', '362', '605', '415', '293', '736', '642', '795', '162', '488', '534', '104', '616', '41', '432', '606', '61', '287', '942', '374', '193', '174', '722', '641', '859', '493', '949', '693', '778', '43']
['861', '731', '308', '385', '775', '637', '475', '211', '370', '286', '279', '171', '480', '853', '774', '587', '638', '979', '229', '978', '933', '165', '532', '320', '123', '864', '337', '829', '904', '378', '831', '834', '680', '51', '910', '27', '433', '588', '504', '273', '544', '974', '542', '888', '360', '976', '699', '13', '993', '65']
['604', '939', '139', '151', '596', '749', '124', '400', '379', '403', '603', '91', '885', '470', '516', '955', '363', '964', '618', '452', '925', '422', '717', '460', '207', '591', '635', '506', '922', '617', '90', '525', '982', '35', '331', '152', '946', '727', '271', '560', '710', '167', '836', '931', '558', '179', '963', '821', '144', '214']
