['25', '208', '163', '480', '316', '412', '528', '317', '648', '504', '343', '756', '279', '297', '23', '736', '285', '631', '669', '334', '275', '516', '83', '447', '614', '747', '349', '171', '588', '309', '456', '852', '680', '139', '305', '41', '124', '509', '46', '152', '240', '19', '382', '132', '206']
['62', '61', '650', '131', '424', '624', '546', '329', '258', '524', '368', '552', '783', '330', '606', '658', '118', '599', '225', '444', '253', '694', '18', '177', '582', '839', '210', '878', '547', '417', '122', '489', '220', '549', '459', '505', '209', '561', '664', '596', '68', '362', '308', '430', '739']
['808', '219', '423', '250', '221', '398', '577', '190', '567', '179', '633', '619', '99', '605', '691', '887', '621', '580', '364', '554', '502', '734', '57', '174', '49', '127', '126', '373', '777', '824', '11', '395', '201', '841', '97', '662', '534', '574', '100', '273', '403', '402', '681', '236', '611']
['35', '773', '326', '224', '269', '419', '168', '711', '260', '769', '610', '299', '866', '862', '794', '558', '151', '142', '750', '51', '877', '510', '530', '790', '473', '268', '313', '488', '722', '705', '493', '44', '327', '787', '860', '114', '503', '501', '880', '14', '893', '655', '894', '479', '323']
['436', '644', '543', '720', '37', '443', '683', '640', '688', '844', '205', '81', '557', '627', '760', '857', '388', '464', '207', '282', '706', '608', '418', '342', '626', '304', '360', '141', '689', '375', '129', '819', '387', '889', '696', '846', '617', '872', '826', '496', '781', '222', '350', '147', '755']
['188', '413', '661', '820', '194', '642', '183', '164', '784', '578', '628', '429', '274', '404', '659', '801', '384', '897', '843', '319', '216', '828', '865', '284', '867', '189', '446', '230', '161', '48', '227', '34', '251', '348', '863', '137', '351', '71', '859', '36', '657', '535', '117', '428', '556']
['185', '26', '247', '491', '563', '0', '499', '850', '774', '281', '218', '714', '592', '782', '869', '571', '542', '635', '513', '453', '277', '589', '416', '302', '667', '651', '95', '752', '198', '757', '217', '686', '40', '322', '482', '354', '332', '280', '73', '699', '344', '864', '838', '357', '121']
['595', '383', '584', '256', '264', '90', '17', '813', '376', '371', '437', '390', '886', '881', '82', '134', '3', '408', '195', '449', '325', '21', '845', '616', '751', '438', '540', '432', '742', '197', '386', '821', '314', '84', '612', '160', '42', '709', '713', '833', '192', '775', '391', '136', '573']
['455', '743', '184', '882', '830', '572', '544', '435', '761', '767', '283', '891', '768', '410', '487', '800', '483', '831', '213', '339', '796', '196', '745', '431', '243', '320', '476', '810', '79', '766', '598', '22', '517', '288', '890', '290', '568', '641', '822', '229', '43', '643', '823', '765', '728']
['565', '737', '478', '849', '321', '814', '519', '740', '31', '92', '723', '212', '879', '203', '346', '259', '670', '358', '532', '98', '133', '55', '793', '389', '150', '676', '200', '340', '355', '289', '854', '246', '649', '634', '733', '265', '698', '601', '629', '730', '786', '805', '331', '527', '871']
['551', '226', '119', '102', '809', '803', '799', '758', '518', '858', '69', '732', '292', '738', '182', '789', '895', '63', '468', '399', '130', '461', '94', '873', '241', '514', '834', '744', '825', '263', '180', '884', '38', '377', '647', '296', '506', '111', '731', '393', '425', '586', '167', '618', '690']
['485', '623', '511', '672', '153', '439', '724', '896', '433', '148', '811', '715', '233', '267', '352', '615', '113', '72', '381', '497', '836', '457', '193', '115', '353', '105', '870', '27', '719', '792', '420', '15', '597', '548', '109', '254', '570', '245', '708', '191', '603', '712', '286', '587', '60']
['764', '684', '385', '702', '576', '802', '166', '847', '674', '89', '6', '717', '232', '594', '815', '564', '883', '538', '101', '338', '9', '754', '560', '466', '486', '704', '143', '835', '818', '238', '312', '837', '445', '832', '173', '668', '490', '727', '471', '106', '721', '638', '392', '50', '434']
['272', '451', '848', '693', '692', '169', '442', '729', '759', '87', '741', '108', '291', '697', '531', '400', '806', '146', '695', '157', '529', '591', '187', '427', '827', '630', '301', '899', '559', '665', '526', '602', '310', '525', '536', '215', '93', '441', '186', '779', '276', '228', '8', '244', '414']
['533', '56', '145', '791', '508', '812', '53', '856', '537', '829', '66', '287', '257', '685', '67', '336', '604', '52', '333', '520', '47', '703', '103', '58', '687', '199', '407', '104', '448', '405', '249', '271', '295', '112', '159', '682', '181', '96', '673', '679', '467', '771', '892', '566', '646']
['303', '701', '345', '718', '120', '484', '795', '379', '359', '840', '170', '780', '874', '590', '523', '176', '20', '24', '585', '262', '270', '278', '788', '1', '763', '237', '248', '307', '475', '116', '318', '898', '675', '539', '7', '165', '202', '637', '851', '625', '135', '579', '409', '748', '4']
['785', '553', '645', '298', '426', '80', '746', '440', '372', '128', '458', '85', '855', '550', '45', '12', '204', '512', '335', '140', '361', '522', '328', '107', '406', '507', '255', '30', '76', '776', '454', '495', '356', '231', '707', '158', '54', '885', '569', '74', '607', '394', '378', '494', '242']
['620', '315', '515', '541', '341', '125', '622', '367', '609', '29', '660', '613', '369', '13', '154', '300', '521', '380', '600', '239', '853', '86', '545', '653', '178', '337', '481', '172', '710', '294', '162', '469', '261', '59', '78', '415', '211', '500', '716', '2', '156', '875', '726', '144', '123']
['677', '663', '636', '91', '306', '725', '138', '422', '10', '16', '149', '700', '397', '33', '735', '470', '798', '762', '293', '311', '460', '396', '75', '374', '749', '175', '214', '593', '778', '671', '842', '876', '583', '868', '804', '465', '861', '421', '324', '88', '366', '266', '365', '155', '235']
['472', '817', '32', '575', '797', '666', '474', '347', '656', '411', '477', '562', '462', '450', '888', '807', '654', '652', '65', '234', '401', '28', '110', '223', '632', '5', '70', '77', '581', '463', '555', '39', '370', '678', '452', '492', '498', '64', '753', '252', '816', '772', '639', '770', '363']
