['396', '67', '733', '57', '220', '617', '24', '613', '455', '332', '171', '514', '515', '485', '91', '263', '371', '213', '457', '469', '3', '658', '10', '729', '625', '7', '473', '595', '265', '311']
['510', '373', '492', '66', '324', '11', '136', '418', '73', '38', '323', '237', '419', '316', '297', '208', '747', '234', '679', '608', '414', '349', '166', '567', '523', '539', '242', '168', '654', '553']
['217', '84', '356', '226', '398', '678', '305', '124', '289', '496', '423', '708', '61', '489', '736', '301', '173', '433', '110', '603', '611', '321', '162', '471', '643', '566', '520', '123', '224', '360']
['158', '352', '363', '657', '125', '394', '721', '390', '446', '85', '653', '144', '54', '306', '746', '98', '22', '165', '700', '302', '251', '142', '702', '309', '366', '503', '48', '338', '201', '132']
['502', '634', '550', '422', '730', '270', '211', '704', '238', '8', '665', '427', '351', '215', '633', '372', '596', '456', '499', '659', '636', '322', '290', '460', '367', '699', '559', '95', '645', '170']
['23', '401', '466', '9', '542', '434', '325', '138', '78', '41', '512', '37', '405', '452', '616', '674', '393', '555', '4', '453', '462', '243', '582', '271', '470', '365', '361', '115', '680', '199']
['685', '385', '660', '293', '604', '698', '586', '647', '467', '536', '286', '140', '664', '291', '588', '430', '578', '669', '314', '334', '530', '671', '71', '339', '58', '605', '225', '49', '728', '273']
['501', '27', '484', '415', '599', '214', '223', '727', '228', '635', '403', '14', '504', '741', '627', '742', '402', '734', '83', '19', '155', '486', '612', '412', '735', '34', '449', '229', '537', '188']
['443', '104', '74', '109', '195', '410', '353', '639', '340', '691', '562', '29', '147', '52', '432', '272', '284', '606', '592', '571', '20', '505', '656', '130', '60', '0', '374', '16', '129', '329']
['133', '383', '336', '570', '197', '642', '303', '737', '622', '264', '628', '260', '212', '250', '689', '528', '621', '175', '716', '538', '397', '268', '495', '113', '258', '541', '318', '421', '445', '59']
['267', '377', '257', '454', '650', '200', '1', '464', '179', '411', '533', '21', '531', '282', '88', '2', '601', '651', '435', '320', '547', '646', '509', '696', '748', '17', '261', '30', '667', '70']
['180', '327', '161', '465', '283', '451', '359', '221', '695', '703', '629', '497', '231', '731', '90', '507', '395', '105', '255', '518', '710', '714', '333', '705', '89', '447', '184', '295', '126', '399']
['308', '568', '280', '44', '33', '589', '479', '508', '99', '192', '146', '345', '475', '86', '55', '116', '666', '183', '331', '219', '5', '288', '131', '564', '463', '150', '458', '597', '640', '139']
['204', '428', '50', '304', '274', '561', '206', '117', '600', '285', '350', '300', '480', '587', '516', '281', '648', '388', '719', '557', '342', '488', '615', '122', '413', '160', '429', '380', '448', '697']
['209', '459', '565', '532', '416', '151', '72', '590', '39', '513', '548', '420', '28', '96', '707', '718', '275', '207', '294', '32', '461', '62', '560', '474', '431', '256', '740', '436', '233', '335']
['444', '631', '128', '235', '292', '46', '406', '296', '35', '205', '313', '477', '673', '249', '632', '610', '169', '676', '178', '145', '407', '277', '687', '26', '118', '370', '187', '18', '511', '381']
['688', '203', '368', '127', '609', '519', '574', '222', '80', '594', '31', '701', '573', '476', '236', '210', '404', '545', '94', '97', '652', '79', '424', '259', '101', '569', '63', '494', '602', '186']
['287', '299', '743', '100', '65', '252', '266', '558', '540', '355', '706', '525', '409', '682', '425', '172', '576', '593', '253', '408', '103', '744', '720', '111', '326', '487', '544', '40', '717', '644']
['563', '12', '400', '577', '346', '584', '684', '387', '102', '579', '276', '392', '527', '176', '25', '198', '378', '713', '711', '437', '522', '317', '426', '13', '244', '478', '723', '319', '483', '630']
['164', '690', '677', '108', '181', '193', '312', '556', '148', '672', '248', '196', '135', '310', '56', '15', '330', '668', '141', '53', '375', '357', '417', '230', '190', '439', '543', '626', '358', '344']
['661', '662', '468', '152', '725', '384', '552', '246', '77', '241', '343', '82', '442', '386', '92', '315', '68', '715', '43', '391', '167', '262', '202', '583', '624', '232', '87', '572', '681', '524']
['591', '491', '69', '42', '174', '663', '218', '749', '575', '159', '112', '693', '521', '620', '347', '185', '247', '341', '114', '546', '194', '694', '551', '712', '121', '119', '493', '81', '549', '239']
['269', '683', '156', '598', '692', '245', '93', '47', '153', '655', '76', '177', '649', '481', '362', '732', '279', '107', '745', '45', '75', '328', '517', '163', '36', '482', '348', '450', '149', '364']
['472', '534', '64', '580', '216', '106', '254', '441', '440', '157', '506', '189', '307', '389', '278', '240', '137', '382', '724', '191', '581', '298', '227', '182', '623', '376', '585', '726', '722', '369']
['738', '354', '379', '686', '739', '709', '637', '337', '143', '500', '120', '670', '618', '6', '614', '675', '641', '51', '529', '607', '490', '526', '638', '619', '535', '134', '554', '154', '438', '498']
