['980', '188', '593', '789', '25']
['561', '681', '380', '214', '881']
['921', '910', '908', '355', '210']
['823', '918', '648', '487', '990']
['152', '489', '663', '433', '466']
['693', '448', '453', '147', '758']
['270', '107', '833', '953', '850']
['861', '567', '98', '117', '784']
['859', '176', '740', '42', '208']
['524', '722', '841', '765', '610']
['718', '671', '793', '965', '216']
['58', '745', '500', '54', '186']
['478', '678', '923', '281', '905']
['544', '421', '60', '163', '146']
['231', '777', '34', '189', '857']
['97', '443', '575', '950', '465']
['532', '689', '818', '973', '751']
['684', '339', '608', '332', '605']
['924', '989', '539', '642', '676']
['752', '925', '839', '940', '269']
['431', '156', '374', '492', '934']
['640', '948', '452', '52', '999']
['513', '502', '273', '944', '283']
['668', '207', '276', '982', '916']
['505', '694', '635', '691', '838']
['493', '888', '830', '813', '598']
['86', '390', '519', '470', '279']
['41', '699', '673', '104', '13']
['33', '960', '235', '132', '856']
['418', '112', '125', '919', '797']
['257', '508', '345', '324', '573']
['191', '83', '28', '252', '826']
['359', '55', '38', '590', '35']
['164', '962', '88', '463', '416']
['852', '955', '284', '379', '514']
['986', '741', '328', '271', '869']
['161', '981', '667', '692', '415']
['711', '713', '165', '707', '645']
['17', '709', '120', '286', '309']
['246', '228', '202', '997', '600']
['362', '679', '65', '627', '249']
['932', '250', '108', '609', '254']
['265', '330', '66', '239', '476']
['406', '471', '516', '732', '442']
['739', '310', '262', '754', '407']
['728', '428', '811', '601', '606']
['23', '954', '85', '580', '646']
['947', '305', '261', '886', '626']
['817', '256', '518', '795', '408']
['776', '211', '541', '878', '899']
['835', '849', '863', '837', '798']
['179', '870', '178', '172', '846']
['259', '95', '672', '348', '402']
['344', '771', '633', '504', '78']
['404', '173', '805', '64', '712']
['897', '157', '89', '988', '264']
['983', '314', '911', '662', '885']
['937', '892', '77', '420', '329']
['113', '458', '533', '22', '268']
['435', '579', '650', '914', '349']
['542', '134', '10', '636', '472']
['138', '287', '32', '720', '998']
['174', '756', '526', '343', '871']
['674', '591', '303', '506', '808']
['929', '945', '238', '383', '521']
['495', '91', '723', '145', '661']
['184', '496', '738', '766', '687']
['149', '36', '788', '969', '592']
['62', '425', '974', '384', '445']
['628', '182', '946', '829', '106']
['900', '323', '727', '376', '536']
['340', '61', '162', '978', '477']
['995', '373', '69', '767', '586']
['432', '647', '550', '9', '895']
['11', '285', '169', '361', '799']
['223', '327', '115', '562', '866']
['563', '192', '21', '240', '436']
['619', '358', '571', '87', '80']
['5', '555', '822', '659', '623']
['545', '350', '734', '53', '101']
['656', '353', '891', '400', '19']
['531', '245', '357', '515', '454']
['398', '301', '29', '391', '94']
['289', '73', '499', '975', '970']
['844', '31', '547', '781', '935']
['959', '930', '883', '772', '939']
['151', '199', '803', '543', '882']
['389', '486', '774', '306', '267']
['569', '325', '511', '820', '347']
['927', '926', '118', '757', '232']
['971', '129', '24', '397', '109']
['462', '753', '201', '321', '819']
['840', '311', '733', '226', '824']
['501', '480', '190', '951', '200']
['194', '585', '197', '233', '464']
['553', '666', '644', '243', '651']
['68', '773', '185', '128', '832']
['721', '56', '274', '794', '205']
['221', '437', '913', '979', '70']
['180', '381', '809', '396', '241']
['747', '312', '928', '942', '280']
['638', '369', '490', '725', '658']
['278', '920', '537', '941', '460']
['423', '677', '446', '816', '479']
['602', '686', '326', '222', '958']
['993', '403', '111', '236', '215']
['915', '225', '806', '726', '991']
['143', '82', '119', '335', '893']
['509', '450', '491', '224', '949']
['158', '213', '1', '39', '412']
['168', '716', '297', '785', '884']
['570', '548', '429', '604', '566']
['375', '845', '577', '382', '385']
['136', '800', '20', '842', '847']
['346', '142', '624', '90', '568']
['963', '613', '512', '3', '410']
['760', '695', '966', '558', '386']
['836', '424', '367', '956', '848']
['74', '630', '206', '985', '557']
['868', '584', '890', '103', '731']
['719', '387', '657', '12', '203']
['160', '63', '801', '854', '552']
['342', '587', '320', '576', '957']
['368', '865', '258', '378', '299']
['47', '364', '551', '992', '140']
['843', '393', '706', '549', '629']
['8', '560', '457', '589', '292']
['697', '43', '599', '834', '583']
['18', '159', '482', '133', '564']
['313', '654', '141', '618', '790']
['498', '360', '909', '251', '354']
['649', '786', '701', '260', '26']
['395', '308', '510', '230', '27']
['183', '742', '750', '51', '99']
['81', '714', '426', '503', '96']
['746', '153', '171', '936', '7']
['220', '889', '475', '110', '994']
['810', '556', '497', '71', '399']
['296', '248', '483', '451', '50']
['825', '166', '49', '316', '44']
['796', '334', '851', '401', '177']
['814', '419', '862', '2', '494']
['831', '903', '291', '366', '902']
['227', '876', '333', '282', '45']
['365', '559', '371', '611', '317']
['377', '217', '304', '37', '219']
['318', '616', '729', '632', '904']
['413', '341', '938', '669', '455']
['574', '894', '779', '187', '653']
['0', '337', '763', '92', '620']
