['331', '299', '489', '414', '180', '198', '373', '244', '252', '101', '8', '211', '10', '242', '190', '94', '413', '120', '429', '391', '349', '493', '302', '16', '100']
['360', '453', '482', '176', '309', '241', '11', '375', '15', '475', '484', '297', '462', '449', '300', '31', '459', '162', '286', '458', '280', '168', '86', '290', '402']
['362', '219', '405', '62', '169', '34', '161', '26', '262', '141', '495', '106', '284', '324', '490', '401', '206', '393', '109', '112', '63', '33', '121', '424', '445']
['53', '350', '376', '488', '74', '476', '307', '463', '136', '60', '228', '365', '250', '234', '287', '183', '259', '292', '474', '212', '419', '397', '403', '260', '446']
['246', '378', '71', '126', '174', '390', '416', '68', '42', '170', '133', '361', '163', '99', '204', '57', '131', '152', '237', '479', '184', '392', '111', '428', '423']
['274', '218', '132', '318', '173', '247', '36', '417', '179', '431', '485', '487', '456', '245', '103', '201', '380', '282', '114', '181', '87', '119', '270', '23', '137']
['13', '344', '265', '477', '156', '306', '408', '314', '238', '409', '430', '443', '59', '5', '442', '421', '40', '422', '486', '150', '51', '149', '478', '364', '102']
['79', '298', '144', '203', '294', '105', '330', '159', '14', '317', '381', '127', '258', '498', '296', '351', '192', '229', '58', '347', '341', '225', '88', '37', '205']
['327', '7', '0', '396', '394', '2', '89', '232', '340', '358', '75', '440', '426', '178', '337', '406', '76', '335', '256', '195', '138', '46', '295', '142', '269']
['303', '224', '134', '82', '323', '261', '249', '267', '313', '25', '47', '124', '315', '316', '54', '200', '496', '398', '17', '222', '214', '80', '220', '52', '333']
['399', '382', '115', '196', '415', '255', '20', '264', '67', '164', '470', '383', '56', '197', '186', '497', '275', '116', '461', '243', '283', '65', '217', '146', '210']
['400', '118', '346', '191', '148', '356', '448', '45', '465', '480', '167', '418', '104', '334', '209', '473', '420', '108', '125', '61', '230', '155', '166', '379', '301']
['110', '370', '117', '464', '411', '213', '472', '9', '444', '276', '438', '369', '122', '308', '239', '97', '289', '285', '227', '385', '77', '447', '407', '215', '95']
['352', '123', '177', '216', '288', '29', '175', '98', '492', '194', '188', '158', '145', '357', '432', '348', '354', '372', '491', '273', '139', '48', '353', '19', '281']
['189', '387', '233', '128', '499', '320', '49', '328', '266', '368', '21', '454', '329', '272', '43', '64', '84', '305', '437', '263', '240', '469', '339', '434', '436']
['231', '457', '367', '85', '304', '24', '202', '185', '310', '253', '388', '325', '153', '450', '22', '293', '410', '157', '154', '221', '187', '6', '343', '268', '50']
['483', '312', '171', '332', '129', '208', '35', '441', '83', '494', '467', '91', '481', '319', '342', '226', '12', '279', '90', '404', '439', '130', '39', '41', '207']
['326', '172', '140', '254', '311', '72', '322', '165', '4', '81', '425', '384', '44', '113', '427', '235', '38', '374', '107', '27', '78', '257', '151', '363', '389']
['345', '471', '412', '433', '96', '386', '355', '73', '452', '1', '143', '451', '135', '377', '3', '30', '321', '366', '93', '193', '371', '223', '92', '251', '466']
['182', '468', '395', '359', '236', '69', '28', '160', '338', '336', '435', '248', '278', '70', '55', '32', '147', '455', '18', '199', '277', '291', '460', '271', '66']
