['306', '42', '665', '857', '843', '482', '354', '965', '309', '782', '556', '156', '473', '41', '823', '669', '923', '272', '888', '439']
['741', '533', '84', '726', '946', '335', '703', '259', '383', '904', '956', '288', '805', '54', '343', '117', '157', '325', '18', '609']
['880', '776', '866', '567', '179', '632', '679', '414', '435', '449', '890', '677', '58', '264', '39', '183', '772', '783', '331', '680']
['372', '960', '745', '375', '20', '558', '621', '817', '871', '100', '409', '490', '538', '859', '654', '22', '620', '201', '112', '496']
['659', '521', '204', '44', '164', '134', '968', '240', '879', '356', '594', '397', '922', '297', '15', '709', '651', '484', '762', '993']
['389', '747', '507', '502', '113', '489', '67', '81', '622', '289', '292', '811', '463', '190', '56', '512', '828', '88', '353', '730']
['855', '769', '119', '989', '564', '812', '281', '584', '361', '514', '454', '412', '868', '795', '626', '457', '402', '243', '675', '672']
['132', '470', '678', '438', '767', '579', '330', '994', '722', '178', '563', '611', '358', '633', '562', '518', '249', '895', '760', '592']
['476', '543', '773', '110', '509', '833', '601', '319', '851', '807', '775', '642', '318', '705', '107', '565', '917', '320', '427', '273']
['838', '146', '72', '316', '696', '441', '688', '308', '824', '985', '797', '560', '662', '396', '368', '826', '972', '825', '740', '25']
['130', '864', '458', '591', '734', '213', '28', '786', '959', '187', '498', '887', '652', '207', '988', '97', '951', '341', '52', '151']
['395', '893', '125', '11', '966', '268', '429', '727', '756', '889', '453', '908', '182', '186', '618', '380', '553', '645', '75', '176']
['781', '844', '166', '440', '954', '364', '804', '373', '305', '315', '338', '144', '837', '952', '92', '515', '217', '165', '105', '365']
['284', '55', '493', '198', '123', '228', '374', '792', '770', '159', '403', '955', '286', '87', '999', '670', '362', '503', '674', '544']
['138', '755', '79', '798', '686', '93', '528', '312', '752', '494', '282', '856', '554', '863', '846', '787', '173', '821', '576', '615']
['830', '549', '168', '869', '852', '379', '363', '931', '636', '671', '914', '718', '471', '46', '794', '860', '907', '819', '142', '932']
