['33', '66', '102', '73', '111', '17', '114', '119', '56', '188']
['289', '322', '355', '9', '110', '115', '281', '218', '285', '287']
['65', '386', '163', '390', '391', '392', '235', '85', '24', '315']
['206', '270', '306', '275', '51', '316', '57', '59', '156', '125']
['161', '130', '162', '133', '40', '112', '210', '374', '93', '95']
['228', '14', '337', '370', '211', '276', '117', '214', '23', '154']
['68', '356', '262', '362', '271', '240', '379', '92', '63', '160']
['186', '250', '171', '267', '12', '176', '242', '58', '219', '94']
['227', '36', '132', '44', '174', '175', '80', '212', '251', '253']
['199', '399', '304', '305', '49', '179', '372', '369', '30', '31']
['67', '35', '70', '203', '107', '301', '274', '215', '222', '223']
['321', '101', '138', '10', '364', '18', '181', '309', '61', '286']
['292', '261', '263', '169', '105', '297', '139', '269', '183', '376']
['39', '167', '268', '77', '46', '144', '178', '341', '87', '345']
['27', '41', '106', '393', '204', '48', '342', '153', '187', '255']
['3', '231', '136', '359', '394', '173', '13', '209', '21', '220']
['225', '99', '172', '143', '15', '81', '145', '84', '340', '319']
['385', '100', '230', '201', '42', '137', '140', '333', '88', '217']
['4', '198', '329', '147', '180', '244', '25', '346', '189', '318']
['5', '72', '363', '238', '148', '86', '151', '22', '254', '352']
['166', '8', '141', '109', '366', '83', '312', '314', '351', '384']
['290', '291', '260', '69', '197', '79', '19', '20', '150', '378']
['324', '104', '265', '328', '266', '52', '279', '249', '60', '350']
['353', '6', '135', '396', '236', '334', '311', '216', '26', '317']
['194', '37', '327', '368', '278', '375', '185', '221', '158', '224']
['97', '34', '257', '295', '232', '397', '47', '184', '91', '96']
['259', '389', '165', '264', '43', '335', '50', '213', '152', '283']
['1', '2', '164', '229', '202', '205', '302', '280', '282', '127']
['98', '325', '294', '331', '277', '248', '90', '123', '348', '256']
['395', '237', '16', '307', '308', '149', '373', '349', '192']
['168', '361', '108', '365', '78', '398', '339', '344', '377', '190']
['241', '284', '243', '116', '247', '89', '155', '252', '64', '320']
['193', '354', '388', '74', '330', '177', '245', '347', '157', '383']
['226', '387', '195', '293', '360', '296', '298', '142', '62', '191']
['323', '357', '7', '45', '239', '208', '55', '28', '381', '382']
['234', '367', '303', '272', '338', '207', '113', '120', '121', '29']
['131', '358', '134', '200', '75', '299', '54', '313', '380', '126']
['129', '258', '38', '233', '332', '76', '53', '122', '159', '288']
['71', '170', '300', '336', '371', '246', '182', '118', '310', '32']
['196', '326', '103', '11', '273', '82', '146', '343', '124', '128']
