['a322', 'a168', 'a13', 'a48', 'a382', 'a304', 'a308', 'a240', 'a301', 'a108', 'a245', 'a309', 'a1', 'a195', 'a220', 'a93', 'a361', 'a42', 'a205', 'a262']
['a252', 'a373', 'a35', 'a354', 'a291', 'a123', 'a333', 'a263', 'a138', 'a156', 'a242', 'a397', 'a79', 'a98', 'a248', 'a85', 'a100', 'a9', 'a287', 'a118']
['a370', 'a188', 'a321', 'a170', 'a87', 'a197', 'a327', 'a142', 'a352', 'a19', 'a167', 'a105', 'a317', 'a83', 'a329', 'a165', 'a26', 'a261', 'a166', 'a5']
['a117', 'a378', 'a178', 'a283', 'a376', 'a289', 'a310', 'a137', 'a62', 'a316', 'a157', 'a172', 'a295', 'a225', 'a312', 'a4', 'a126', 'a29', 'a204', 'a11']
['a399', 'a70', 'a143', 'a50', 'a116', 'a342', 'a43', 'a115', 'a346', 'a32', 'a63', 'a226', 'a244', 'a111', 'a213', 'a217', 'a258', 'a379', 'a318', 'a297']
['a294', 'a52', 'a293', 'a371', 'a173', 'a44', 'a232', 'a334', 'a151', 'a387', 'a341', 'a189', 'a36', 'a55', 'a221', 'a323', 'a177', 'a102', 'a203', 'a348']
['a300', 'a279', 'a57', 'a250', 'a222', 'a219', 'a186', 'a281', 'a81', 'a34', 'a325', 'a78', 'a237', 'a201', 'a66', 'a135', 'a192', 'a207', 'a314', 'a125']
['a103', 'a145', 'a380', 'a140', 'a209', 'a82', 'a228', 'a303', 'a326', 'a215', 'a25', 'a18', 'a331', 'a139', 'a320', 'a231', 'a206', 'a335', 'a216', 'a129']
['a162', 'a49', 'a164', 'a290', 'a181', 'a153', 'a28', 'a3', 'a163', 'a94', 'a368', 'a356', 'a33', 'a71', 'a122', 'a357', 'a372', 'a61', 'a37', 'a362']
['a358', 'a144', 'a16', 'a202', 'a278', 'a292', 'a77', 'a60', 'a398', 'a377', 'a152', 'a276', 'a38', 'a347', 'a159', 'a340', 'a227', 'a141', 'a307', 'a369']
['a385', 'a390', 'a114', 'a150', 'a298', 'a388', 'a161', 'a20', 'a72', 'a41', 'a91', 'a235', 'a14', 'a65', 'a344', 'a198', 'a131', 'a302', 'a260', 'a106']
['a160', 'a31', 'a90', 'a338', 'a146', 'a269', 'a296', 'a351', 'a154', 'a39', 'a367', 'a89', 'a99', 'a234', 'a147', 'a12', 'a233', 'a343', 'a315', 'a230']
['a246', 'a253', 'a185', 'a193', 'a158', 'a238', 'a183', 'a124', 'a130', 'a190', 'a80', 'a381', 'a218', 'a395', 'a286', 'a264', 'a394', 'a391', 'a211', 'a7']
['a10', 'a191', 'a0', 'a359', 'a241', 'a24', 'a40', 'a277', 'a64', 'a194', 'a353', 'a58', 'a95', 'a306', 'a214', 'a22', 'a266', 'a282', 'a319', 'a119']
['a6', 'a272', 'a274', 'a336', 'a148', 'a299', 'a375', 'a69', 'a27', 'a74', 'a110', 'a345', 'a121', 'a324', 'a21', 'a337', 'a199', 'a200', 'a171', 'a249']
['a113', 'a51', 'a67', 'a365', 'a8', 'a389', 'a136', 'a155', 'a56', 'a268', 'a305', 'a17', 'a196', 'a179', 'a104', 'a251', 'a229', 'a68', 'a243', 'a75']
['a134', 'a256', 'a176', 'a284', 'a255', 'a349', 'a174', 'a15', 'a355', 'a339', 'a2', 'a54', 'a364', 'a330', 'a208', 'a247', 'a270', 'a180', 'a223', 'a182']
['a210', 'a271', 'a107', 'a393', 'a46', 'a311', 'a47', 'a224', 'a23', 'a374', 'a275', 'a88', 'a350', 'a127', 'a383', 'a360', 'a257', 'a187', 'a96', 'a396']
['a120', 'a132', 'a392', 'a332', 'a59', 'a386', 'a280', 'a128', 'a285', 'a267', 'a76', 'a149', 'a259', 'a84', 'a175', 'a53', 'a109', 'a101', 'a366', 'a265']
['a133', 'a363', 'a273', 'a184', 'a212', 'a384', 'a30', 'a288', 'a92', 'a328', 'a112', 'a239', 'a45', 'a254', 'a236', 'a169', 'a313', 'a97', 'a86', 'a73']
