['48', '49', '85', '86']
['138', '68', '69', '62']
['329', '323', '38', '39']
['385', '282', '36', '374']
['376', '17', '393', '165']
['41', '42', '317', '318']
['227', '189', '270', '191']
['232', '280', '340', '341']
['98', '219', '71', '279']
['53', '261', '118', '55']
['320', '137', '179', '182']
['241', '18', '382', '335']
['386', '171', '387', '151']
['321', '181', '293', '15']
['315', '180', '149', '183']
['233', '362', '235', '237']
['328', '353', '330', '302']
['90', '308', '381', '354']
['392', '66', '59', '206']
['100', '101', '102', '263']
['104', '305', '242', '348']
['145', '338', '11', '359']
['129', '82', '358', '130']
['264', '306', '304', '70']
['146', '156', '389', '230']
['326', '246', '150', '247']
['106', '398', '110', '47']
['224', '378', '40', '127']
['144', '369', '226', '236']
['162', '116', '141', '255']
['134', '172', '349', '350']
['313', '252', '12', '286']
['163', '347', '355', '365']
['256', '240', '210', '243']
['161', '133', '105', '215']
['57', '220', '262', '223']
['312', '300', '245', '111']
['391', '193', '32', '311']
['314', '92', '93', '126']
['140', '388', '390', '351']
['73', '331', '343', '239']
['56', '339', '21', '175']
['352', '153', '205', '87']
['192', '209', '122', '195']
['379', '291', '238', '375']
['199', '196', '94', '135']
['64', '361', '177', '292']
['120', '290', '123', '221']
['266', '363', '28', '58']
['160', '8', '201', '366']
['9', '10', '30', '295']
['88', '380', '6', '7']
['19', '5', '203', '319']
['322', '275', '332', '31']
['217', '178', '147', '397']
['136', '124', '125', '399']
['128', '377', '51', '333']
['168', '345', '119', '303']
['16', '45', '166', '167']
['267', '155', '14', '23']
['0', '250', '107', '54']
['257', '285', '395', '187']
['204', '4', '268', '207']
['368', '337', '228', '33']
['276', '277', '214', '278']
['176', '186', '218', '154']
['96', '284', '384', '287']
['258', '222', '109', '310']
['46', '1', '260', '198']
['89', '131', '324', '327']
['74', '35', '357', '103']
['113', '114', '225', '265']
['272', '65', '67', '283']
['81', '121', '108', '63']
['148', '77', '78', '367']
['212', '373', '294', '143']
['24', '72', '197', '22']
['274', '61', '174', '95']
['170', '298', '20', '60']
['29', '164', '325', '159']
['80', '342', '26', '190']
['297', '299', '76', '254']
['344', '50', '396', '253']
['169', '372', '301', '132']
['97', '83', '157', '271']
['139', '229', '142', '231']
['2', '185', '194', '43']
['248', '13', '364', '309']
['296', '273', '44', '360']
['200', '202', '34', '346']
['75', '91', '307', '152']
['216', '188', '99', '84']
['184', '251', '269', '383']
['112', '27', '37', '117']
['259', '281', '211', '208']
['234', '115', '244', '213']
['288', '289', '356', '52']
['370', '371', '316', '158']
['249', '394', '25', '79']
['336', '3', '173', '334']
