['193', '387', '388', '389', '390', '391', '392', '393', '394', '395', '396', '397', '398', '399', '323', '156', '221', '231', '297', '382']
['0', '132', '324', '203', '23', '360', '300', '108', '364', '365', '367', '240', '306', '241', '370', '242', '372', '374', '376', '378']
['129', '198', '264', '266', '202', '12', '18', '275', '85', '279', '100', '168', '183', '184', '185', '186', '187', '127', '189', '191']
['197', '204', '141', '332', '205', '339', '343', '152', '160', '162', '163', '35', '227', '230', '232', '171', '172', '237', '124', '317']
['15', '338', '289', '164', '377', '106', '236', '110', '111', '48', '177', '50', '51', '368', '53', '54', '113', '366', '116', '373']
['325', '70', '74', '76', '79', '83', '20', '87', '153', '155', '29', '30', '31', '36', '38', '104', '107', '174', '308', '311']
['258', '194', '144', '211', '21', '217', '345', '285', '350', '291', '292', '357', '294', '296', '109', '176', '243', '247', '248', '252']
['1', '200', '14', '145', '82', '212', '154', '284', '157', '158', '293', '101', '298', '299', '235', '239', '178', '245', '246', '58']
['66', '262', '263', '268', '147', '24', '286', '95', '253', '249', '45', '173', '49', '307', '117', '118', '57', '314', '61', '62']
['192', '196', '276', '280', '283', '347', '159', '288', '33', '287', '224', '353', '354', '226', '361', '369', '180', '312', '250', '190']
['136', '10', '267', '78', '271', '272', '208', '342', '215', '218', '351', '352', '161', '355', '356', '359', '233', '234', '371', '63']
['256', '260', '133', '68', '7', '265', '201', '269', '270', '333', '277', '344', '216', '43', '238', '175', '59', '125', '254', '255']
['321', '65', '259', '67', '134', '135', '138', '139', '207', '148', '219', '220', '225', '34', '165', '102', '295', '380', '381', '126']
['257', '385', '5', '326', '199', '72', '331', '143', '336', '337', '84', '340', '25', '26', '91', '348', '97', '105', '112', '121']
['327', '8', '329', '209', '341', '151', '92', '94', '32', '41', '44', '46', '47', '305', '181', '182', '55', '56', '188', '319']
['9', '11', '210', '19', '22', '90', '27', '349', '375', '229', '103', '40', '42', '362', '123', '115', '52', '244', '119', '251']
['128', '2', '6', '140', '13', '142', '16', '149', '150', '281', '167', '73', '80', '81', '213', '88', '96', '99', '120', '383']
['4', '17', '282', '39', '169', '301', '302', '304', '179', '309', '310', '313', '315', '316', '318', '322', '69', '75', '77', '358']
['384', '130', '3', '131', '386', '137', '273', '278', '28', '290', '170', '303', '195', '71', '328', '330', '93', '363', '122', '379']
['261', '146', '274', '37', '166', '60', '64', '320', '206', '334', '335', '86', '214', '89', '346', '222', '223', '98', '228', '114']
