['145', '134', '198', '136', '284', '184']
['226', '170', '171', '187', '158', '286']
['49', '50', '90', '188', '157', '159']
['372', '229', '84', '375', '376', '426']
['17', '220', '36', '168', '252', '216']
['0', '256', '305', '356', '358', '303']
['276', '278', '23', '234', '237', '238']
['365', '6', '86', '364', '13', '14']
['258', '37', '117', '119', '41', '202']
['388', '180', '404', '183', '105', '402']
['80', '225', '83', '316', '28', '79']
['347', '327', '428', '427', '172', '155']
['227', '282', '378', '401', '381', '382']
['339', '197', '152', '60', '109', '271']
['64', '118', '328', '62', '298', '415']
['385', '355', '313', '235', '222', '318']
['416', '16', '112', '418', '370', '111']
['35', '228', '24', '266', '139', '29']
['322', '132', '231', '233', '203', '31']
['240', '244', '309', '246', '95', '395']
['290', '291', '296', '314', '301', '367']
['162', '163', '325', '70', '185', '93']
['160', '48', '217', '315', '221', '15']
['336', '164', '165', '108', '173', '223']
['353', '337', '67', '350', '142', '351']
['304', '386', '329', '331', '302', '57']
['214', '135', '169', '410', '285', '174']
['194', '98', '149', '151', '236', '287']
['68', '38', '230', '71', '425', '383']
['97', '100', '280', '154', '299', '156']
['3', '4', '133', '20', '138', '44']
['273', '275', '179', '362', '363', '191']
['114', '101', '21', '297', '334', '335']
['321', '392', '348', '349', '394', '255']
['352', '195', '277', '200', '379', '47']
['18', '293', '181', '88', '218', '45']
['288', '289', '42', '295', '330', '43']
['369', '2', '354', '423', '424', '76']
['384', '130', '131', '182', '343', '127']
['82', '125', '279', '73', '205', '78']
['161', '420', '408', '411', '8', '267']
['357', '102', '56', '106', '219', '380']
['192', '196', '345', '346', '140', '429']
['1', '147', '421', '294', '59', '75']
['113', '213', '390', '7', '399', '91']
['128', '308', '310', '374', '137', '332']
['153', '186', '361', '10', '189', '190']
['193', '387', '292', '326', '264', '366']
['341', '166', '9', '12', '254', '143']
['81', '54', '103', '414', '400', '359']
['19', '324', '115', '247', '265', '300']
['241', '242', '338', '245', '199', '430']
['397', '116', '405', '52', '25', '110']
['368', '398', '250', '122', '58', '63']
['320', '407', '323', '263', '360', '409']
['396', '274', '148', '53', '342', '61']
['32', '34', '120', '251', '269', '393']
['175', '391', '201', '74', '124', '239']
['129', '85', '87', '89', '126', '207']
['208', '257', '272', '150', '121', '30']
['209', '66', '69', '389', '204', '206']
['210', '306', '260', '212', '373', '377']
['248', '232', '123', '141', '94', '431']
['224', '55', '39', '40', '281', '270']
['259', '99', '215', '72', '104', '253']
['261', '262', '77', '176', '177', '51']
['417', '5', '11', '46', '403', '211']
['33', '107', '412', '92', '413', '319']
['371', '22', '311', '312', '249', '317']
['419', '268', '144', '178', '344', '283']
['65', '167', '307', '243', '26', '27']
['96', '422', '333', '146', '340', '406']
