['374', '298', '4', '172', '360', '119', '427', '441', '14', '32', '283', '102', '75', '462', '464', '407', '151', '275', '169', '363', '270', '288', '41', '43', '11', '444', '258', '228', '332', '470', '473', '387']
['476', '153', '112', '309', '432', '239', '414', '123', '190', '362', '46', '193', '145', '301', '160', '92', '257', '120', '479', '227', '284', '225', '316', '402', '395', '336', '475', '453', '415', '304', '272', '224']
['323', '465', '65', '429', '233', '25', '217', '206', '7', '16', '265', '318', '135', '199', '238', '364', '89', '455', '243', '202', '263', '308', '196', '33', '396', '334', '312', '88', '171', '56', '156', '111']
['295', '107', '34', '86', '382', '291', '188', '459', '241', '311', '302', '2', '28', '157', '474', '267', '289', '279', '299', '143', '388', '94', '330', '282', '72', '461', '226', '101', '177', '180', '18', '210']
['347', '255', '200', '328', '269', '229', '15', '53', '425', '460', '271', '314', '126', '204', '181', '13', '266', '278', '57', '400', '320', '264', '230', '61', '385', '440', '184', '76', '367', '85', '477', '420']
['175', '244', '93', '116', '376', '189', '136', '95', '433', '449', '371', '23', '50', '27', '49', '12', '306', '313', '10', '292', '478', '141', '350', '99', '234', '277', '276', '434', '9', '6', '219', '138']
['394', '451', '280', '317', '375', '469', '452', '91', '29', '150', '436', '146', '431', '124', '409', '148', '139', '378', '125', '406', '246', '445', '127', '68', '117', '191', '390', '389', '82', '305', '179', '296']
['322', '87', '106', '466', '207', '166', '167', '39', '256', '399', '391', '161', '3', '170', '439', '252', '463', '38', '357', '113', '183', '197', '203', '384', '144', '205', '104', '17', '327', '74', '114', '286']
['128', '105', '185', '63', '285', '456', '417', '416', '331', '319', '412', '103', '142', '155', '398', '423', '254', '147', '187', '59', '345', '253', '176', '310', '366', '162', '174', '410', '121', '8', '73', '404']
['35', '352', '235', '208', '355', '83', '164', '201', '468', '67', '294', '457', '182', '20', '37', '30', '213', '450', '232', '381', '236', '471', '110', '77', '467', '290', '118', '223', '268', '325', '408', '42']
['438', '337', '62', '342', '340', '5', '386', '22', '329', '212', '356', '209', '198', '84', '78', '240', '297', '0', '36', '221', '131', '379', '178', '52', '220', '60', '339', '326', '122', '69', '109', '287']
['222', '373', '64', '324', '173', '338', '260', '96', '211', '218', '40', '97', '361', '108', '19', '273', '397', '98', '421', '365', '214', '403', '194', '333', '80', '422', '447', '237', '262', '349', '58', '426']
['393', '353', '442', '346', '140', '159', '370', '405', '66', '380', '31', '454', '48', '443', '55', '335', '79', '90', '358', '149', '348', '24', '341', '1', '216', '307', '168', '195', '133', '154', '293', '130']
['281', '377', '71', '44', '249', '411', '300', '446', '70', '165', '321', '51', '448', '351', '344', '100', '359', '245', '354', '251', '369', '26', '45', '137', '248', '192', '458', '418', '419', '247', '472', '21']
['437', '134', '413', '428', '81', '250', '303', '435', '368', '315', '392', '242', '152', '274', '163', '47', '132', '430', '383', '129', '401', '372', '215', '158', '261', '186', '424', '259', '115', '54', '231', '343']
