['j6', 'j1', 'b4', 'd4', 'k7', 'b1', 'o6', 'b10', 'g4', 'j10']
['e5', 'j2', 'e7', 'd7', 'g1', 'w2', 't6', 'd3', 'l3', 'h9']
['i5', 'p10', 'c1', 'i10', 'q3', 'q5', 'p4', 'l10', 'q6', 'i3']
['h2', 'y9', 'c9', 'g9', 'h7', 'd9', 's9', 'd1', 'd6', 'f6']
['y8', 'y1', 'w6', 'x7', 't9', 'q1', 'j8', 'l5', 'g10', 'y6']
['g3', 'd8', 'v7', 'v8', 'v9', 'p6', 'p7', 'c6', 'f2', 'a7']
['c4', 'w5', 'b7', 'x6', 'n7', 'p8', 'a6', 'e10', 'l8', 'u10']
['m9', 'u9', 't7', 'q2', 'n4', 'o8', 'o7', 'g7', 'o3', 'o2']
['j5', 'a8', 'c2', 'a3', 'r5', 'u5', 'u4', 'u7', 'u1', 'm6']
['h5', 'y5', 'w3', 'x5', 'p1', 'u6', 't10', 'c7', 'x10', 'm8']
['r10', 'g8', 'v3', 'k10', 't5', 'r1', 'r2', 'p5', 'q8', 'm10']
['a9', 's6', 'w7', 'u8', 'l6', 'u3', 'k4', 'm7', 'c10', 'g5']
['h1', 'a1', 'b8', 'r7', 'r3', 'd2', 'b5', 'k8', 'm3', 'n10']
['s3', 'e1', 'e3', 'b2', 'b3', 'k3', 'r8', 'u2', 'a5', 'h8']
['h3', 'w10', 'x4', 'q4', 'i1', 'a2', 'o9', 'y10', 'g6', 'j4']
['o1', 'v1', 'j3', 'y7', 'k2', 'y4', 'm5', 'a10', 'f4', 'j9']
['e8', 'v2', 't8', 's7', 'p2', 'w9', 'x9', 't1', 'c5', 'o10']
['i4', 'x3', 'd10', 'v5', 's2', 'v6', 'r4', 's5', 'n8', 'a4']
['q10', 'o4', 'e2', 'y3', 'k1', 'q7', 'l7', 'r9', 'n6', 'l9']
['g2', 'x2', 's8', 'e6', 't2', 'p9', 'q9', 'w4', 'm1', 'i2']
['b9', 'p3', 'h6', 'h4', 'x1', 'r6', 'w8', 'b6', 'l1', 'i8']
['y2', 'm2', 'd5', 'k6', 'l4', 'l2', 'm4', 'i9', 'o5', 'f5']
['v10', 'j7', 'c8', 'v4', 't4', 's4', 'h10', 'n1', 'n5', 'x8']
['f8', 'f9', 'e9', 'i6', 's10', 'e4', 't3', 'n2', 'k5', 'f1']
['c3', 'f7', 'i7', 'f10', 's1', 'n9', 'n3', 'k9', 'w1', 'f3']
