['257', '258', '35', '116', '297', '254', '256']
['3', '196', '197', '244', '199', '278', '201']
['33', '335', '340', '330', '332', '334', '175']
['50', '53', '54', '40', '42', '317', '15']
['337', '99', '261', '343', '121', '107', '96']
['225', '229', '293', '345', '221', '223', '61']
['161', '114', '158', '233', '155', '156', '110']
['177', '122', '25', '314', '123', '125', '240']
['319', '307', '94', '286', '302', '303', '336']
['273', '306', '101', '342', '103', '316', '271']
['338', '312', '329', '92', '93', '95', '288']
['274', '276', '69', '151', '280', '189', '255']
['194', '294', '169', '171', '252', '173', '79']
['98', '139', '296', '298', '299', '301', '239']
['100', '215', '234', '331', '333', '222', '63']
['66', '350', '149', '166', '77', '78', '64']
['245', '326', '70', '134', '137', '138', '87']
['82', '85', '86', '88', '153', '48', '80']
['84', '310', '71', '39', '187', '203', '190']
['62', '23', '250', '11', '60', '188', '207']
['321', '243', '4', '308', '198', '75', '304']
['65', '227', '211', '7', '184', '186', '27']
['241', '226', '259', '228', '34', '230', '43']
['300', '146', '324', '327', '247', '347', '204']
['147', '320', '57', '268', '253', '111', '208']
['292', '309', '344', '90', '91', '220', '224']
['17', '322', '19', '21', '311', '200', '206']
['289', '305', '157', '180', '237', '32', '160']
['102', '9', '12', '140', '13', '29', '346']
['30', '260', '262', '264', '265', '168', '174']
['178', '339', '232', '89', '106', '235', '14']
['131', '133', '181', '120', '348', '45', '127']
['81', '2', '83', '214', '183', '236', '238']
['145', '68', '148', '251', '231', '58', '59']
['193', '212', '315', '284', '142', '159', '128']
['290', '141', '5', '136', '185', '10', '109']
['1', '97', '328', '218', '205', '287', '192']
['249', '165', '277', '105', '267', '269', '272']
['164', '37', '202', '74', '283', '76', '144']
['179', '132', '117', '281', '108', '349', '176']
['209', '163', '36', '291', '167', '41', '28']
['18', '325', '263', '24', '266', '318', '26']
['195', '154', '152', '217', '170', '285', '191']
['49', '135', '8', '44', '46', '47', '16']
['129', '130', '323', '113', '124', '126', '143']
['341', '38', '182', '246', '279', '270', '31']
['104', '242', '20', '22', '118', '313', '219']
['73', '172', '51', '52', '55', '56', '119']
['162', '6', '210', '275', '213', '150', '282']
['67', '295', '72', '112', '115', '216', '248']
